insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
MW797153	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778365	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797151	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797150	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797149	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
KR819004	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778468	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797148	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778467	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778182	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778181	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778180	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797147	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778466	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MK044559	Democratic Republic of the Congo	Watsi		Democratic Republic of the Congo		Watsi	Democratic Republic of the Congo	Watsi	
MT778465	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778363	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778464	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778375	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778461	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778462	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778358	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778359	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778463	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778483	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778360	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778546	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778174	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778175	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797146	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778362	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778374	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778361	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797152	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778183	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778366	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778185	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778186	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778368	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778489	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778549	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797238	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778475	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778187	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778370	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778490	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778491	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778371	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778492	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778550	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778369	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778364	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778474	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778472	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778469	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778265	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778184	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778407	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778408	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778409	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778473	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778470	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778488	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778376	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778471	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778547	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778548	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778367	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778487	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
KP271018	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
KP271019	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
KP271020	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778541	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778542	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778543	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797226	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778350	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778484	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778540	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778544	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797137	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797266	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797267	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778351	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797138	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797139	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778545	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797140	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778539	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797136	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797130	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797131	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797265	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778176	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778177	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778178	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778538	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778179	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778404	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797132	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778537	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797133	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797134	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797135	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797264	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778646	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MW797268	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778352	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
MT778486	Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
