geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
Democratic Republic of the Congo			Democratic Republic of the Congo			Democratic Republic of the Congo		
Democratic Republic of the Congo	Watsi		Democratic Republic of the Congo		Watsi	Democratic Republic of the Congo	Watsi	
Democratic Republic of the Congo	Lokolia		Democratic Republic of the Congo		Lokolia	Democratic Republic of the Congo	Lokolia	
Democratic Republic of the Congo	Kikwit		Democratic Republic of the Congo		Kikwit	Democratic Republic of the Congo	Kikwit	
Democratic Republic of the Congo	Mayinga		Democratic Republic of the Congo		Mayinga	Democratic Republic of the Congo	Mayinga	
Democratic Republic of the Congo	Likati		Democratic Republic of the Congo		Likati	Democratic Republic of the Congo	Likati	
Gabon			Gabon			Gabon		
Germany			Germany			Germany		
Guinea	Kissidougou		Guinea		Kissidougou	Guinea	Kissidougou	
Guinea	Conacry		Guinea		Conacry	Guinea	Conacry	
Guinea	Pita		Guinea		Pita	Guinea	Pita	
Guinea	Boke		Guinea	Boke		Guinea	Boke	
Guinea	Telimele		Guinea		Telimele	Guinea	Telimele	
Guinea	Conakry		Guinea	Conakry		Guinea	Conakry	
Guinea	Gueckedou		Guinea		Gueckedou	Guinea	Gueckedou	
Guinea	Coyah		Guinea		Coyah	Guinea	Kindia	Coyah
Guinea	Forecariah		Guinea		Forecariah	Guinea	Forecariah	
Guinea	Forecaria		Guinea		Forecaria	Guinea	Forecaria	
Guinea	Kindia		Guinea	Kindia		Guinea	Kindia	
Guinea			Guinea			Guinea		
Guinea	Nzerekore		Guinea	Nzerekore		Guinea	Nzerekore Region	
Guinea	Dubreka		Guinea		Dubreka	Guinea	Dubréka	
India			India			India		
Italy			Italy			Italy		
Liberia	Redlight, Monstserrado		Liberia		Redlight, Monstserrado	Liberia	Redlight	Monstserrado
Liberia	Battery Factory, Monstserrado		Liberia		Battery Factory, Monstserrado	Liberia	Battery Factory	Monstserrado
Liberia	Soul Clinic, Monstserrado		Liberia		Soul Clinic, Monstserrado	Liberia	Soul Clinic	Monstserrado
Liberia	Dupont Road, Monstserrado		Liberia		Dupont Road, Monstserrado	Liberia	Dupont Road	Monstserrado
Liberia	Jallah's Town, Monstserrado		Liberia		Jallah's Town, Monstserrado	Liberia	Jallah's Town	Monstserrado
Liberia	Grand Cape Mount		Liberia	Grand Cape Mount		Liberia	Grand Cape Mount	
Liberia	Buchana, Grand Bassa		Liberia	Grand Bassa	Buchana	Liberia	Buchana	Grand Bassa
Liberia	Cape Mount		Liberia	Grand Cape Mount		Liberia	Cape Mount	
Liberia	Bonja, Monstserrado		Liberia		Bonja, Monstserrado	Liberia	Bonja	Monstserrado
Liberia	Gbarpolu		Liberia	Gbarpolu		Liberia	Gbarpolu	
Liberia	St Paul Bridge, Monstserrado		Liberia		St Paul Bridge, Monstserrado	Liberia	St Paul Bridge	Monstserrado
Liberia	Vioja, Monstserrado		Liberia		Vioja, Monstserrado	Liberia	Vioja	Monstserrado
Liberia	Bensonville, Monstserrado		Liberia		Bensonville, Monstserrado	Liberia	Bensonville	Monstserrado
Liberia	Harbel, Margibi		Liberia	Margibi	Harbel	Liberia	Harbel	Margibi
Liberia	Monstserrado		Liberia	Montserrado		Liberia	Monstserrado	
Liberia	Grand Kru		Liberia	Grand Kru		Liberia	Grand Kru	
Liberia	Bong		Liberia	Bong		Liberia	Bong	
Liberia	Nimba		Liberia	Nimba		Liberia	Nimba	
Liberia	Bomi		Liberia	Bomi		Liberia	Bomi	
Liberia	Montesserrado		Liberia		Montesserrado	Liberia	Montesserrado	
