insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
LS399317	Albania			Albania			Albania		
DQ537384	Argentina			Argentina			Argentina		
DQ537383	Argentina			Argentina			Argentina		
DQ811782	Argentina			Argentina			Argentina		
DQ537382	Argentina			Argentina			Argentina		
GQ379160	Argentina			Argentina			Argentina		
GQ379161	Argentina			Argentina			Argentina		
DQ811783	Argentina			Argentina			Argentina		
DQ537385	Argentina			Argentina			Argentina		
KX394395	Australia			Australia			Australia		
FJ375272	Australia	Normanton QLD Gulf		Australia	Queensland	Normanton Gulf	Australia	Normanton QLD Gulf	
FJ375273	Australia	Normanton QLD Gulf		Australia	Queensland	Normanton Gulf	Australia	Normanton QLD Gulf	
FJ375294	Australia	Normanton QLD Gulf		Australia	Queensland	Normanton Gulf	Australia	Normanton QLD Gulf	
KX394385	Australia			Australia			Australia		
KT934801	Australia	Kimberley Region, Western Australia		Australia	Western Australia	Kimberley Region	Australia	Kimberley Region	Western Australia
KT934798	Australia	Gulf of Carpentaria, Queensland		Australia	Queensland	Gulf of Carpentaria	Australia	Gulf of Carpentaria	Queensland
KT934799	Australia	Gulf of Carpentaria, Queensland		Australia	Queensland	Gulf of Carpentaria	Australia	Gulf of Carpentaria	Queensland
KT934803	Australia	Hallett, South Australia		Australia	South Australia	Hallett	Australia	Hallett	South Australia
EU073998	Australia			Australia			Australia		
KX394382	Australia			Australia			Australia		
FJ375271	Australia	Mt Isa		Australia		Mt Isa	Australia	Mt Isa	
KX394387	Australia			Australia			Australia		
KX394386	Australia			Australia			Australia		
JX014270	Australia			Australia			Australia		
FJ375282	Australia	Griffith-Willbriggie, NSW		Australia	New South Wales	Griffith-Willbriggie	Australia	Griffith-Willbriggie	NSW
FJ375262	Australia	Leeton-Mountford Park, NSW		Australia	New South Wales	Leeton-Mountford Park	Australia	Leeton-Mountford Park	NSW
FJ375263	Australia	Leeton-Mountford Park, NSW		Australia	New South Wales	Leeton-Mountford Park	Australia	Leeton-Mountford Park	NSW
FJ375292	Australia	Mt Isa		Australia		Mt Isa	Australia	Mt Isa	
