geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
Albania			Albania			Albania		
Argentina			Argentina			Argentina		
Australia	QLD Gulf		Australia	Queensland	Gulf	Australia	QLD Gulf	
Australia	Leanyer Swamp, Northern Territory		Australia	Northern Territory	Leanyer Swamp	Australia	Leanyer Swamp	Northern Territory
Australia	New South Wales		Australia	New South Wales		Australia	New South Wales	
Australia	Bourke, NSW		Australia	New South Wales	Bourke	Australia	Bourke	NSW
Australia	L. Cargellio, NSW		Australia	New South Wales	L. Cargellio	Australia	L. Cargellio	NSW
Australia	Pilbara Region, Western Australia		Australia	Western Australia	Pilbara Region	Australia	Pilbara Region	Western Australia
Australia	Wentworth, NSW		Australia	New South Wales	Wentworth	Australia	Wentworth	NSW
Australia	Victoria		Australia	Victoria		Australia	Victoria	
Australia	Leanyer Swamp Northern Territory		Australia		Leanyer Swamp Northern Territory	Australia	Leanyer Swamp Northern Territory	
Australia	Griffith-Willbriggie, NSW		Australia	New South Wales	Griffith-Willbriggie	Australia	Griffith-Willbriggie	NSW
Australia	Mt Isa		Australia		Mt Isa	Australia	Mt Isa	
Australia	Hallett, South Australia		Australia	South Australia	Hallett	Australia	Hallett	South Australia
Australia	Gulf of Carpentaria, Queensland		Australia	Queensland	Gulf of Carpentaria	Australia	Gulf of Carpentaria	Queensland
Australia	Kimberley Region, Western Australia		Australia	Western Australia	Kimberley Region	Australia	Kimberley Region	Western Australia
Australia	Normanton QLD Gulf		Australia	Queensland	Normanton Gulf	Australia	Normanton QLD Gulf	
Australia			Australia			Australia		
Australia	Leeton-Mountford Park, NSW		Australia	New South Wales	Leeton-Mountford Park	Australia	Leeton-Mountford Park	NSW
Austria	Leopoldstadt Vienna		Austria		Leopoldstadt Vienna	Austria	Leopoldstadt Vienna	
Austria	Leopoldstadt, Vienna		Austria		Leopoldstadt, Vienna	Austria	Leopoldstadt	Vienna
Austria	Illmitz, Burgenland		Austria	Burgenland	Illmitz	Austria	Illmitz	Burgenland
Austria	Donaustadt, Vienna		Austria		Donaustadt, Vienna	Austria	Donaustadt	Vienna
Austria	Hietzing, Vienna		Austria		Hietzing, Vienna	Austria	Hietzing	Vienna
Austria	Floridsdorf, Vienna		Austria		Floridsdorf, Vienna	Austria	Floridsdorf	Vienna
Austria			Austria			Austria		
Austria	H#tteldorf, Vienna		Austria		H#tteldorf, Vienna	Austria	H#tteldorf	Vienna
Austria	Lake Neusiedl		Austria		Lake Neusiedl	Austria	Lake Neusiedl	
Austria	Marchegg, Lower Austria		Austria		Marchegg, Lower Austria	Austria	Marchegg	Lower Austria
Austria	Vienna International Airport		Austria		Vienna International Airport	Austria	Vienna International Airport	
Austria	Meidling, Vienna		Austria		Meidling, Vienna	Austria	Meidling	Vienna
Austria	Strasshof, Lower Austria		Austria		Strasshof, Lower Austria	Austria	Strasshof	Lower Austria
Azerbaijan			Azerbaijan			Azerbaijan		
Belarus	Gomel region		Belarus	Gomel'skaja oblast'		Belarus	Gomel region	
Belgium			Belgium			Belgium		
Brazil			Brazil			Brazil		
Brazil	Itagiba, Bahia		Brazil	Bahia	Itagiba	Brazil	Itagiba	Bahia
Brazil	Minas Gerais		Brazil	Minas Gerais		Brazil	Minas Gerais	
Brazil	Sao Paulo		Brazil	Sao Paulo		Brazil	São Paulo	
Brazil	Ipira, Bahia		Brazil	Bahia	Ipira	Brazil	Ipira	Bahia
Brazil	Piaui		Brazil	Piaui		Brazil	Piaui	
Brazil	Abaiara, Ceara		Brazil	Ceara	Abaiara	Brazil	Abaiara	Ceara
Brazil	Espirito Santo state, Joao Neiva municipality		Brazil	Espirito Santo	Joao Neiva municipality	Brazil	Espirito Santo state	Joao Neiva municipality
British Virgin Islands	Necker Island		British Virgin Islands	Necker Island		United Kingdom	British Virgin Islands	
Bulgaria			Bulgaria			Bulgaria		
Canada			Canada			Canada		
Canada	Alberta		Canada	Alberta		Canada	Alberta	
Canada	Saskatchewan		Canada	Saskatchewan		Canada	Saskatchewan	
Canada	Manitoba		Canada	Manitoba		Canada	Manitoba	
Central African Republic			Central African Republic			Central African Republic		
China			China			China		
Colombia	San Bernardo del Viento, Cordoba		Colombia	Cordoba	San Bernardo del Viento	Colombia	San Bernardo del Viento	Cordoba
Colombia			Colombia			Colombia		
Colombia	Medellin		Colombia		Medellin	Colombia	Antioquia	Medellin
Costa Rica			Costa Rica			Costa Rica		
Croatia			Croatia			Croatia		
Cyprus			Cyprus			Cyprus		
Czech Republic			Czech Republic			Czech Republic		
Czech Republic	South Moravia, Mlynsky fishpond at Lednice		Czech Republic	South Moravia, Mlynsky fishpond at Lednice		Czech Republic	South Moravia	Mlynsky fishpond at Lednice
