groupKey	groupType	sequenceCount	sampleAccessions	sampleAliasCores	sampleAliases	runAccessions	associatedOrganisms	enaScientificNames	referenceAccessions	segments	sequenceAccessions
SAMEA120641354	single consensus record	1	SAMEA120641354	m2-3zPstM	revseq_sample_m2-3zPstM_20251128133525882488	ERR15973927	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373699
SAMEA120641357	single consensus record	1	SAMEA120641357	m2-4W9wb5	revseq_sample_m2-4W9wb5_20251128133606003984	ERR15973929	HPIV-4a	Human parainfluenza virus 4a	NC_021928	genome	OZ373071
SAMEA120641359	single consensus record	1	SAMEA120641359	m2-4HbGG2	revseq_sample_m2-4HbGG2_20251128133646103724	ERR15973932	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373107
SAMEA120641360	single consensus record	1	SAMEA120641360	m2-468ARL	revseq_sample_m2-468ARL_20251128133706152104	ERR15973935	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ373066
SAMEA120641362	single consensus record	1	SAMEA120641362	m2-gYFizT	revseq_sample_m2-gYFizT_20251128133726202111	ERR15973937	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373103
SAMEA120641363	single consensus record	1	SAMEA120641363	m2-3d2qwx	revseq_sample_m2-3d2qwx_20251128133746251998	ERR15973938	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373064
SAMEA120641364	single consensus record	1	SAMEA120641364	m2-4Lx8Lv	revseq_sample_m2-4Lx8Lv_20251128133806301801	ERR15973939	KI polyomavirus Stockholm 60	KI polyomavirus Stockholm 60	NC_009238	genome	OZ373041
SAMEA120641365	single consensus record	1	SAMEA120641365	m2-YAdfpF	revseq_sample_m2-YAdfpF_20251128133826350601	ERR15973940	Bocaparvovirus primate1	Bocaparvovirus primate1	NC_007455	genome	OZ373068
SAMEA120641366	single consensus record	1	SAMEA120641366	m2-32supx	revseq_sample_m2-32supx_20251128133846399038	ERR15973941	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ373105
SAMEA120641368	single consensus record	1	SAMEA120641368	m2-3H2Wig	revseq_sample_m2-3H2Wig_20251128133906448725	ERR15973942	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373070
SAMEA120641369	single consensus record	1	SAMEA120641369	m2-9jS4Ro	revseq_sample_m2-9jS4Ro_20251128133926498632	ERR15973943	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373098
SAMEA120641370	single consensus record	1	SAMEA120641370	m2-3xWWe7	revseq_sample_m2-3xWWe7_20251128133946545982	ERR15973944	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ373091
SAMEA120641371	single consensus record	1	SAMEA120641371	m2-3MV28K	revseq_sample_m2-3MV28K_20251128134006593219	ERR15973946	HMPV	human metapneumovirus	NC_039199	genome	OZ373059
SAMEA120641372	single consensus record	1	SAMEA120641372	m2-Zu3u7N	revseq_sample_m2-Zu3u7N_20251128134026640907	ERR15973948	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373092
SAMEA120641373	single consensus record	1	SAMEA120641373	m2-hU5TjU	revseq_sample_m2-hU5TjU_20251128134046688523	ERR15973949	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373028
SAMEA120641374	single consensus record	1	SAMEA120641374	m2-3Fa9rz	revseq_sample_m2-3Fa9rz_20251128134106742434	ERR15973950	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373057
SAMEA120641376	single consensus record	1	SAMEA120641376	m2-aWAj59	revseq_sample_m2-aWAj59_20251128134146842868	ERR15973952	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ373063
SAMEA120641378	single consensus record	1	SAMEA120641378	m2-XisgNp	revseq_sample_m2-XisgNp_20251128134206894655	ERR15973953	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373507
SAMEA120641379	single consensus record	1	SAMEA120641379	m2-36z874	revseq_sample_m2-36z874_20251128134226949442	ERR15973954	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373293
SAMEA120641380	single consensus record	1	SAMEA120641380	m2-4PF58Q	revseq_sample_m2-4PF58Q_20251128134247000180	ERR15973955	HPIV-3	Human respirovirus 3	NC_001796	genome	OZ373032
SAMEA120641381	single consensus record	1	SAMEA120641381	m2-MT4r8p	revseq_sample_m2-MT4r8p_20251128134307049220	ERR15973957	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373037
SAMEA120641382	single consensus record	1	SAMEA120641382	m2-zG7RFd	revseq_sample_m2-zG7RFd_20251128134327098702	ERR15973958	HPIV-4a	Human parainfluenza virus 4a	NC_021928	genome	OZ373291
SAMEA120641383	single consensus record	1	SAMEA120641383	m2-4i2tZF	revseq_sample_m2-4i2tZF_20251128134347145547	ERR15973959	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373090
SAMEA120641384	single consensus record	1	SAMEA120641384	m2-X3sxhS	revseq_sample_m2-X3sxhS_20251128134407192818	ERR15973960	RSV-B	Human Respiratory syncytial virus 9320	AY353550	genome	OZ373129
SAMEA120641385	single consensus record	1	SAMEA120641385	m2-E6qgW7	revseq_sample_m2-E6qgW7_20251128134427261589	ERR15973961	Coronavirus HKU1	Human coronavirus HKU1	NC_006577	genome	OZ373099
SAMEA120641386	single consensus record	1	SAMEA120641386	m2-49m5VA	revseq_sample_m2-49m5VA_20251128134447309862	ERR15973962	RSV-B	Human Respiratory syncytial virus 9320	AY353550	genome	OZ373050
SAMEA120641389	single consensus record	1	SAMEA120641389	m2-4Die3B	revseq_sample_m2-4Die3B_20251128134527416802	ERR15973964	Human adenovirus B1	Human adenovirus B1	NC_011203	genome	OZ373044
SAMEA120641390	single consensus record	1	SAMEA120641390	m2-4SWHMc	revseq_sample_m2-4SWHMc_20251128134547469798	ERR15973965	Coronavirus OC43	Human coronavirus OC43	AY391777	genome	OZ373054
SAMEA120641391	single consensus record	1	SAMEA120641391	m2-3TMBNi	revseq_sample_m2-3TMBNi_20251128134607519354	ERR15973967	Rhinovirus A89	rhinovirus A89	NC_001617	genome	OZ373031
SAMEA120641392	single consensus record	1	SAMEA120641392	m2-8ERNNJ	revseq_sample_m2-8ERNNJ_20251128134627581321	ERR15973968	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373055
SAMEA120641393	single consensus record	1	SAMEA120641393	m2-3fGJE8	revseq_sample_m2-3fGJE8_20251128134647629990	ERR15973969	RSV-A	Human respiratory syncytial virus A	NC_001803	genome	OZ373060
SAMEA120641395	single consensus record	1	SAMEA120641395	m2-3wTS9S	revseq_sample_m2-3wTS9S_20251128134727727354	ERR15973971	Human mastadenovirus C	Human mastadenovirus C	NC_001405	genome	OZ373290
